base,quote,status,symbol,trading_disabled,type
REQ,USDC,online,REQ-USDC,False,SPOT
ILV,USD,online,ILV-USD,False,SPOT
ILV,USDC,online,ILV-USDC,False,SPOT
BIGTIME,USD,online,BIGTIME-USD,False,SPOT
BIGTIME,USDC,online,BIGTIME-USDC,False,SPOT
LCX,USD,online,LCX-USD,False,SPOT
LCX,USDC,online,LCX-USDC,False,SPOT
METIS,USD,online,METIS-USD,False,SPOT
METIS,USDC,online,METIS-USDC,False,SPOT
GFI,USD,online,GFI-USD,False,SPOT
GFI,USDC,online,GFI-USDC,False,SPOT
BAL,USD,online,BAL-USD,False,SPOT
BAL,USDC,online,BAL-USDC,False,SPOT
FLOCK,USD,online,FLOCK-USD,False,SPOT
FLOCK,USDC,online,FLOCK-USDC,False,SPOT
PRCL,USD,online,PRCL-USD,False,SPOT
PRCL,USDC,online,PRCL-USDC,False,SPOT
GMT,USD,online,GMT-USD,False,SPOT
GMT,USDC,online,GMT-USDC,False,SPOT
ETC,EUR,online,ETC-EUR,False,SPOT
SHIB,EUR,online,SHIB-EUR,False,SPOT
COSMOSDYDX,USD,online,COSMOSDYDX-USD,False,SPOT
COSMOSDYDX,USDC,online,COSMOSDYDX-USDC,False,SPOT
TRU,USD,online,TRU-USD,False,SPOT
TRU,USDC,online,TRU-USDC,False,SPOT
MINA,USD,online,MINA-USD,False,SPOT
MINA,USDC,online,MINA-USDC,False,SPOT
EDGE,USD,online,EDGE-USD,False,SPOT
EDGE,USDC,online,EDGE-USDC,False,SPOT
AXS,USD,online,AXS-USD,False,SPOT
AXS,USDC,online,AXS-USDC,False,SPOT
SEAM,USD,online,SEAM-USD,False,SPOT
SEAM,USDC,online,SEAM-USDC,False,SPOT
VVV,USD,online,VVV-USD,False,SPOT
VVV,USDC,online,VVV-USDC,False,SPOT
RSR,USD,online,RSR-USD,False,SPOT
RSR,USDC,online,RSR-USDC,False,SPOT
ZETA,USD,online,ZETA-USD,False,SPOT
ZETA,USDC,online,ZETA-USDC,False,SPOT
HOME,USD,online,HOME-USD,False,SPOT
HOME,USDC,online,HOME-USDC,False,SPOT
MAMO,USD,online,MAMO-USD,False,SPOT
MAMO,USDC,online,MAMO-USDC,False,SPOT
ANKR,EUR,online,ANKR-EUR,False,SPOT
CAKE,USD,online,CAKE-USD,False,SPOT
CAKE,USDC,online,CAKE-USDC,False,SPOT
FAI,USD,online,FAI-USD,False,SPOT
FAI,USDC,online,FAI-USDC,False,SPOT
GST,USD,online,GST-USD,False,SPOT
GST,USDC,online,GST-USDC,False,SPOT
CTSI,USD,online,CTSI-USD,False,SPOT
CTSI,USDC,online,CTSI-USDC,False,SPOT
PROVE,USD,online,PROVE-USD,False,SPOT
PROVE,USDC,online,PROVE-USDC,False,SPOT
WAXL,USD,online,WAXL-USD,False,SPOT
WAXL,USDC,online,WAXL-USDC,False,SPOT
GODS,USD,online,GODS-USD,False,SPOT
GODS,USDC,online,GODS-USDC,False,SPOT
BLZ,USD,online,BLZ-USD,False,SPOT
BLZ,USDC,online,BLZ-USDC,False,SPOT
OGN,USD,online,OGN-USD,False,SPOT
OGN,USDC,online,OGN-USDC,False,SPOT
SUKU,USD,online,SUKU-USD,False,SPOT
SUKU,USDC,online,SUKU-USDC,False,SPOT
MATH,USD,online,MATH-USD,False,SPOT
MATH,USDC,online,MATH-USDC,False,SPOT
PNG,USD,online,PNG-USD,False,SPOT
PNG,USDC,online,PNG-USDC,False,SPOT
AUCTION,USD,online,AUCTION-USD,False,SPOT
AUCTION,USDC,online,AUCTION-USDC,False,SPOT
BOBA,USD,online,BOBA-USD,False,SPOT
BOBA,USDC,online,BOBA-USDC,False,SPOT
RARE,USD,online,RARE-USD,False,SPOT
RARE,USDC,online,RARE-USDC,False,SPOT
IO,USD,online,IO-USD,False,SPOT
IO,USDC,online,IO-USDC,False,SPOT
00,USD,online,00-USD,False,SPOT
00,USDC,online,00-USDC,False,SPOT
NEWT,USD,online,NEWT-USD,False,SPOT
